Track,Album Name,Artist,Release Date,All Time Rank,Spotify Streams,Spotify Popularity
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,1,390470936,92.0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,2,323703884,92.0
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,3,601309283,92.0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,4,2031280633,85.0
Houdini,Houdini,Eminem,5/31/2024,5,107034922,88.0
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,6,670665438,83.0
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,7,900158751,86.0
Gata Only,Gata Only,FloyyMenor,2/2/2024,8,675079153,92.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,9,1653018119,0.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,10,90676573,86.0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,11,250080413,91.0
The Door,The Door,Teddy Swims,6/14/2024,12,111155129,0.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,13,221636195,92.0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,14,355186436,88.0
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,15,297185,12.0
LALA,LALA - Single,Myke Towers,3/22/2023,16,925655569,79.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,17,395433400,89.0
greedy,greedy,Tate McRae,9/14/2023,18,1258569694,87.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,19,91272461,86.0
As It Was,As It Was,Harry Styles,3/31/2022,20,3301814535,87.0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,21,1065399331,78.0
Espresso,Espresso,Sabrina Carpenter,4/12/2024,22,547882871,95.0
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,23,1655575417,0.0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,24,426700979,86.0
Future,Future,official sound studio,1/10/2024,25,0,0.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,26,7382759,35.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,27,3107100349,78.0
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,28,720822868,71.0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,29,591068364,87.0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,30,1003215671,0.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,31,1645079292,0.0
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,32,124893397,82.0
Water,Water,Tyla,7/28/2023,33,670376179,83.0
Strangers,Strangers,Kenya Grace,9/1/2023,34,750154960,79.0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,35,532012790,0.0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,36,479417905,0.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,37,311928522,96.0
Lose Control,Lose Control,Teddy Swims,6/23/2023,38,775135157,87.0
fukumean,fukumean,Gunna,6/15/2023,39,759998727,80.0
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,40,3071214106,71.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,41,214237645,92.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,42,170970614,41.0
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,43,1658229422,83.0
Daylight,Daylight,David Kushner,4/14/2023,44,1126820069,82.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,45,997702304,86.0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,46,59314441,83.0
Houdini,Houdini - Single,Dua Lipa,11/9/2023,47,493627071,80.0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,48,1655575417,0.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,49,304929492,69.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,50,1747093405,74.0
euphoria,euphoria,Kendrick Lamar,4/30/2024,51,168434320,86.0
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,52,104271,25.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,53,1391688322,77.0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,54,3909458734,80.0
Mitu,Mitu - Single,Maian,1/19/2023,55,55346,13.0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,56,4281468720,83.0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,57,1337619917,80.0
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,58,0,0.0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,59,1655575417,0.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,60,1556275789,74.0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,61,0,9.0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,62,1384,0.0
Supernova,Supernova,aespa,5/13/2024,63,69729033,81.0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,64,1811990630,79.0
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,65,199929812,0.0
Calm Down,Calm Down,Rema,2/10/2022,66,584427088,68.0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,67,466887055,84.0
Kill Bill,SOS,SZA,12/8/2022,68,1873746537,82.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,69,891720245,82.0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,70,46567,6.0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,71,2996181078,82.0
In the End,Papercuts,Linkin Park,4/12/2024,72,2045512421,0.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,73,946941510,74.0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,74,7909,4.0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,75,1010494713,67.0
un x100to,un x100to,Grupo Frontera,4/17/2023,76,1008495696,75.0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,77,0,0.0
Sprinter,Sprinter - Single,Dave,6/1/2023,78,692512930,78.0
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,79,169410711,90.0
TQG,TQG,KAROL G,2/23/2023,80,1024381758,78.0
